city_name,temperature_c,humidity_percent,wind_speed_mps,weather_main,weather_description,date_pkt,time_pkt
Chak Five Hundred Eleven Gugera Branch,38.21,35,2.0,Clouds,overcast clouds,2025-07-08,15:33:39
Kassowal,40.77,31,4.9,Clouds,overcast clouds,2025-07-08,15:33:40
Chak Hundred One,39.86,31,3.28,Clouds,overcast clouds,2025-07-08,15:33:40
Chak One Hundred Sixty-three Eastern Bar,40.4,30,4.88,Clouds,overcast clouds,2025-07-08,15:33:41
Chak One Hundred Forty-two Nine Left,40.13,30,4.87,Clouds,overcast clouds,2025-07-08,15:33:41
Chak One Hundred Thirty-eight Nine Left,39.93,31,4.83,Clouds,overcast clouds,2025-07-08,15:33:41
Nawan,30.18,52,4.49,Clouds,overcast clouds,2025-07-08,15:33:41
Kot Buta Singh,33.16,42,3.02,Clouds,overcast clouds,2025-07-08,15:33:43
Pattoki,34.02,40,3.01,Clouds,broken clouds,2025-07-08,15:33:43
Sheikham Kalan,33.6,41,1.82,Clouds,broken clouds,2025-07-08,15:33:43
Ahluwal,32.75,43,1.84,Clouds,overcast clouds,2025-07-08,15:33:43
Khai Gala,20.2,78,1.24,Clouds,overcast clouds,2025-07-08,15:33:28
Jambar Khurd,32.34,44,0.47,Clouds,overcast clouds,2025-07-08,15:33:44
Khanewal,28.68,59,2.33,Clouds,overcast clouds,2025-07-08,15:33:44
Kot Abdul Malik,28.3,60,2.49,Clouds,overcast clouds,2025-07-08,15:33:44
Khunda,31.88,53,1.92,Clouds,overcast clouds,2025-07-08,15:28:15
Mangtanwala,31.11,48,2.12,Clouds,overcast clouds,2025-07-08,15:33:45
Jaranwala,32.14,50,1.96,Clouds,overcast clouds,2025-07-08,15:33:46
Chak One Hundred Twelve Gugera Branch,32.44,51,4.6,Clouds,overcast clouds,2025-07-08,15:33:45
Chak Two Hundred Eighty-three Gogera Branch,32.97,49,2.95,Clouds,overcast clouds,2025-07-08,15:33:47
Nai Abadi,32.38,43,3.81,Clouds,overcast clouds,2025-07-08,15:33:47
Tarar Khel,21.68,74,1.22,Clouds,overcast clouds,2025-07-08,15:33:15
Charhoi,26.97,64,1.94,Clouds,overcast clouds,2025-07-08,15:34:09
Dhangri,29.99,55,2.31,Clouds,overcast clouds,2025-07-08,15:34:09
Thub Jagir,29.57,59,1.17,Clouds,overcast clouds,2025-07-08,15:34:09
